0,265,269,0.1058
1,270,271,0.024210648
2,270,267,0.048430008
3,270,267,0.048430008
4,272,266,0.033201432
5,272,266,0.033201432
6,266,273,0.02339172
7,273,275,0.48212208
8,271,267,0.02430648
9,267,290,0.032138568
10,290,268,0.016692192
11,272,298,0.102592512
12,0,4,0.13225
13,1,5,0.13225
14,1,7,0.7935
15,2,6,0.0
16,2,17,4.232
17,2,128,0.529
18,3,15,2.3805
19,4,8,0.7935
20,6,11,0.529
21,6,109,0.529
22,7,10,1.71925
23,7,13,1.71925
24,8,10,0.7935
25,10,12,1.058
26,11,19,1.058
27,12,18,0.7935
28,13,14,1.8515
29,14,30,8.59625
30,14,73,13.09275
31,14,74,12.696
32,15,35,2.3805
33,17,19,1.058
34,17,71,6.877
35,18,20,2.116
36,18,25,9.12525
37,19,22,2.116
38,20,21,6.877
39,21,23,2.51275
40,22,230,3.703
41,23,24,4.761
42,24,25,5.95125
43,24,231,5.68675
44,26,31,0.330625
45,26,33,0.7935
46,26,34,0.92575
47,27,35,1.19025
48,28,59,1.587
49,28,62,0.7935
50,28,63,1.3225
51,29,72,2.116
52,30,31,1.058
53,30,33,2.9095
54,30,34,1.3225
55,30,42,2.24825
56,30,73,13.4895
57,30,74,6.21575
58,31,34,1.058
59,31,36,4.232
60,32,35,0.71415
61,33,41,3.4385
62,34,42,8.59625
63,34,43,4.09975
64,35,39,2.3805
65,36,37,3.4385
66,36,41,12.56375
67,36,45,1.71925
68,37,40,3.57075
69,37,46,3.703
70,38,51,3.703
71,38,61,4.761
72,39,67,5.95125
73,40,60,6.877
74,40,91,5.68675
75,41,86,3.30625
76,42,43,4.09975
77,43,44,4.89325
78,44,47,3.57075
79,45,46,3.30625
80,46,47,4.62875
81,47,48,8.59625
82,48,49,6.0835
83,48,54,21.02775
84,49,50,1.19025
85,50,52,0.2645
86,51,53,4.761
87,53,55,8.464
88,53,122,0.529
89,54,235,3.504625
90,56,189,6.74475
91,56,65,6.74475
92,57,58,4.232
93,57,236,2.645
94,58,59,4.761
95,58,60,4.4965
96,59,63,2.3805
97,59,237,3.3856
98,60,62,2.77725
99,60,65,2.3805
100,61,72,2.116
101,61,239,15.1294
102,62,63,2.116
103,63,64,0.13225
104,63,66,1.8515
105,63,238,11.783475
106,63,240,10.34195
107,64,65,0.7935
108,64,68,0.0
109,65,189,13.09275
110,66,189,2.9095
111,67,172,4.165875
112,67,173,4.165875
113,69,70,4.232
114,70,71,6.348
115,70,233,3.174
116,73,75,6.21575
117,74,76,4.232
118,75,77,13.225
119,75,78,2.9095
120,76,83,2.51275
121,76,85,2.24825
122,77,78,36.7655
123,78,81,2.9095
124,78,82,5.0255
125,78,83,6.348
126,79,81,3.174
127,79,82,4.4965
128,80,86,7.00925
129,80,87,0.2645
130,80,88,5.95125
131,80,89,6.6125
132,81,82,2.116
133,82,84,5.68675
134,83,85,2.51275
135,84,87,10.051
136,84,232,5.819
137,85,86,1.587
138,85,89,20.76325
139,87,234,9.7865
140,88,89,9.2575
141,88,91,13.225
142,88,92,14.41525
143,89,90,18.7795
144,90,92,2.24825
145,93,100,0.4761
146,94,98,0.2645
147,95,96,0.013225
148,96,97,0.0
149,96,244,0.0
150,244,98,0.0
151,96,99,0.29095
152,97,98,0.0
153,97,99,0.0
154,100,101,10.6858
155,100,103,12.762125
156,101,102,4.761
157,101,103,6.2951
158,103,104,0.07935
159,105,106,3.1211
160,105,112,2.5921
161,105,146,3.1211
162,106,108,4.1262
163,106,111,1.3754
164,107,108,4.0204
165,107,111,1.1109
166,108,110,0.8464
167,108,129,0.8993
168,108,145,4.1791
169,108,146,4.1262
170,111,115,0.8993
171,111,146,1.3754
172,111,147,1.1109
173,112,113,2.2747
174,112,162,2.0631
175,113,114,4.8139
176,114,115,6.6125
177,114,130,2.9624
178,115,118,0.7935
179,115,159,0.2645
180,115,164,0.3703
181,115,166,0.2645
182,117,150,7.43245
183,118,119,6.348
184,118,120,8.0408
185,118,123,24.7572
186,118,124,22.747
187,118,125,25.8681
188,118,160,0.6877
189,119,124,15.3939
190,120,121,3.174
191,121,123,3.9675
192,121,127,6.7183
193,123,124,4.4965
194,123,127,11.5322
195,124,125,3.8617
196,130,131,7.2473
197,131,139,2.9095
198,132,134,23.09085
199,132,161,10.6329
200,133,139,5.819
201,135,137,0.4232
202,136,137,1.5341
203,136,138,3.4914
204,140,142,1.2696
205,140,143,0.9522
206,141,142,2.3276
207,143,144,0.1058
208,145,147,0.9522
209,150,151,8.847525
210,150,152,7.37955
211,151,152,10.672575
212,151,153,9.773275
213,151,154,23.791775
214,153,154,11.9554
215,153,157,10.18325
216,154,155,3.319475
217,155,156,2.93595
218,156,157,6.58605
219,156,158,0.806725
220,159,116,0.2116
221,159,165,0.2116
222,162,163,1.3225
223,164,166,0.3703
224,165,166,0.3703
225,166,116,0.2116
226,167,186,1.43748
227,167,187,2.00376
228,168,209,0.4761
229,169,170,1.587
230,170,203,1.058
231,171,183,1.9602
232,171,186,2.09088
233,172,197,3.689775
234,172,241,2.8566
235,173,197,3.689775
236,174,175,1.8515
237,174,188,3.9675
238,175,176,1.3225
239,175,189,1.98375
240,176,181,1.19025
241,176,188,2.645
242,176,189,4.4965
243,177,178,10.051
244,177,188,5.29
245,178,188,10.71225
246,179,182,5.40144
247,181,189,1.3225
248,182,183,2.00376
249,183,184,13.15512
250,184,185,3.17988
251,184,186,10.4544
252,190,193,2.647116
253,192,193,0.323748
254,192,220,0.28566
255,193,194,0.85698
256,194,195,0.76176
257,195,196,0.0
258,195,198,0.514188
259,197,215,0.357075
260,198,196,0.704628
261,198,199,0.19044
262,198,216,0.304704
263,199,201,0.057132
264,202,203,5.29
265,202,204,1.0051
266,203,169,0.529
267,206,207,0.361836
268,206,212,0.247572
269,209,215,0.119025
270,212,213,0.038088
271,213,216,0.038088
272,218,229,0.1587
273,221,222,0.553212
274,221,223,1.420056
275,222,224,0.84942
276,223,224,0.683892
277,223,225,1.56816
278,224,225,1.167408
279,225,226,1.864368
280,226,227,1.528956
281,227,228,2.683296
282,174,245,0.013225
