0,90.0
1,56.0
2,20.0
3,0.0
4,353.0
5,120.0
6,0.0
7,63.0
8,96.0
9,153.0
10,83.0
11,0.0
12,58.0
13,160.0
14,126.7
15,0.0
16,561.0
17,0.0
18,605.0
19,77.0
20,81.0
21,21.0
22,0.0
23,45.0
24,28.0
25,69.0
26,55.0
27,0.0
28,0.0
29,0.0
30,85.0
31,155.0
32,0.0
33,46.0
34,86.0
35,0.0
36,39.0
37,195.0
38,0.0
39,0.0
40,58.0
41,41.0
42,92.0
43,0.0
44,61.0
45,69.0
46,10.0
47,22.0
48,98.0
49,14.0
50,218.0
51,0.0
52,227.0
53,0.0
54,70.0
55,0.0
56,0.0
57,56.0
58,116.0
59,57.0
60,224.0
61,0.0
62,208.0
63,74.0
64,0.0
65,48.0
66,28.0
67,0.0
68,37.0
69,0.0
70,0.0
71,0.0
72,0.0
73,44.2
74,66.0
75,17.4
76,15.8
77,60.3
78,39.9
79,66.7
80,83.5
81,0.0
82,77.8
83,32.0
84,8.6
85,49.6
86,4.6
87,112.10000000000001
88,30.7
89,63.0
90,19.6
91,26.2
92,18.2
93,0.0
94,0.0
95,0.0
96,14.1
97,0.0
98,777.0
99,535.0
100,229.1
101,78.0
102,276.40000000000003
103,514.8
104,57.9
105,380.8
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,169.20000000000002
114,55.2
115,273.6
116,1019.2
117,595.0
118,387.7
119,145.0
120,56.5
121,89.5
122,0.0
123,24.0
124,0.0
125,0.0
126,63.0
127,0.0
128,0.0
129,0.0
130,17.0
131,0.0
132,70.0
133,200.0
134,75.0
135,123.5
136,0.0
137,33.0
138,0.0
139,35.0
140,85.0
141,0.0
142,0.0
143,0.0
144,0.0
145,299.90000000000003
146,0.0
147,0.0
148,481.8
149,763.6
150,26.5
151,163.5
152,0.0
153,176.0
154,5.0
155,28.0
156,427.40000000000003
157,74.0
158,69.5
159,73.4
160,240.70000000000002
161,40.0
162,136.8
163,0.0
164,59.8
165,59.8
166,182.6
167,7.0
168,0.0
169,489.0
170,800.0
171,0.0
172,0.0
173,0.0
174,10.0
175,43.0
176,64.0
177,35.0
178,27.0
179,41.0
180,38.0
181,42.0
182,72.0
183,0.0
184,12.0
185,0.0
186,7.0
187,38.0
188,0.0
189,96.0
190,0.0
191,0.0
192,22.0
193,47.0
194,176.0
195,100.0
196,131.0
197,0.0
198,285.0
199,171.0
200,328.0
201,428.0
202,173.0
203,410.0
204,0.0
205,538.0
206,223.0
207,96.0
208,0.0
209,159.0
210,448.0
211,404.0
212,572.0
213,269.0
214,0.0
215,0.0
216,255.0
217,0.0
218,0.0
219,0.0
220,0.0
221,8.0
222,0.0
223,61.0
224,77.0
225,61.0
226,29.0
227,29.0
228,0.0
229,0.0
230,115.8
231,2.4
232,2.4
233,0.0
234,24.7
235,145.3
236,28.1
237,14.0
238,0.0
239,50.5
240,29.6
241,0.0
242,100.31
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,4.2
267,2.71
268,0.86
269,0.0
270,0.0
271,0.0
272,0.0
273,4.75
274,1.53
275,0.0
276,1.35
277,0.45
278,0.45
279,1.84
280,1.39
281,1.89
282,1.55
283,1.66
284,3.03
285,1.86
286,2.58
287,1.01
288,0.81
289,1.6
290,0.0
291,35.81
292,30.0
293,26.48
294,0.0
295,0.0
296,1.02
297,1.02
298,3.8
299,1.19
